Time(ms),ENV_Value,Marker
132000,103.6,
132100,23.3,
132200,6.7,
132400,8.8,
132500,6.8,
132600,5.7,
132700,4.1,
132800,5.8,
132900,5.1,
133000,4.2,
133100,120.1,
133200,113.8,
133300,116.2,
133400,119.9,medium
133500,91.7,
133600,73.8,
133700,27.5,
133800,5.8,
133900,6.1,
134000,5.9,
134100,4.9,
134200,6.5,
134300,5.5,
134400,5.3,
134500,5.4,
134600,5.3,
134700,124.3,
134800,107.1,
134900,88.8,
135000,106.8,
135100,106.1,
135200,92.1,
135300,37.8,
135400,6.4,
135500,8.9,
135600,8.1,
135700,5.4,
135800,6.2,
135900,7.1,
136000,6.0,
136100,5.4,
136200,5.7,
136300,101.6,
136400,128.8,
136500,111.2,
136600,88.1,
136700,74.0,
136800,86.8,
136900,44.9,
137000,7.0,
137100,7.9,
137200,5.4,
137400,6.1,
137500,4.6,
137600,4.5,
137700,4.9,
137800,5.5,
137900,71.4,
138000,90.0,
138100,115.5,
138200,117.9,
138400,69.9,
138500,54.7,
138600,9.4,
138700,6.4,
138800,6.6,
138900,6.0,
139000,5.4,
139100,5.1,
139200,5.4,
139400,6.1,
139500,95.1,
139600,131.9,
139700,91.7,
139800,109.2,
139900,114.2,
140000,95.8,
140100,74.0,
140200,9.2,
140400,5.7,
140500,4.9,
140600,5.1,
140700,4.9,
140800,5.0,
140900,4.9,
141000,4.3,
141100,50.9,
141200,192.1,
141300,125.1,
141400,88.7,
141500,80.8,
141600,98.2,
141700,95.1,
141800,10.7,
141900,6.9,
142000,5.0,
142100,6.3,
142200,5.0,
142400,24.5,
142500,15.8,
142600,13.0,
142700,10.4,
142800,114.4,
142900,127.7,
143000,128.3,
143100,91.8,
143200,74.8,
143300,98.3,
143400,55.0,
143500,40.5,
143600,49.7,
143700,64.3,
143800,28.9,
143900,14.2,
144000,17.2,
144100,16.7,
144200,10.7,
144400,150.6,
144500,104.1,
144600,112.8,
144700,118.3,
144800,136.2,
144900,92.6,
145000,79.7,
145100,56.4,
145200,69.5,
145400,48.4,
145500,36.9,
145600,7.0,
145700,7.1,
145800,68.1,
145900,36.8,
146000,193.3,
146100,125.6,
146200,89.2,
146300,90.7,
146400,101.2,
146500,96.3,
146600,20.7,
146700,6.3,
146800,6.0,
146900,5.5,
147000,5.1,
147100,5.6,
147200,5.5,
147400,5.0,
147500,7.0,
147600,108.2,
147700,131.6,
147800,115.5,
147900,81.0,
148000,71.7,
148100,89.1,
148200,21.2,
148300,6.1,
148400,6.4,
148500,5.6,
148600,5.5,
148700,5.7,
148800,4.8,
148900,6.1,
149000,6.0,
149100,4.3,
149200,125.8,
149400,112.2,
149500,106.8,
149600,86.1,
149700,66.1,
149800,27.9,
149900,8.0,
150000,5.9,
150100,5.2,
150200,5.9,
150400,5.7,
150500,5.0,
150600,5.1,
150700,5.1,
150800,165.0,
150900,127.5,
151000,87.1,
151100,98.4,
151200,105.0,
151400,35.1,
151500,6.4,
151600,8.3,
151700,6.5,
151800,5.7,
151900,5.8,
152000,7.3,
152100,7.5,
152200,5.7,
152400,104.2,
152500,145.4,
152600,121.9,
152700,89.4,
152800,74.8,
152900,94.2,
153000,46.9,
153100,7.5,
153200,6.7,
153400,6.3,
153500,7.4,
153600,6.9,
153700,5.2,
153800,5.5,
153900,6.0,
154000,85.4,
154100,113.8,
154200,120.3,
154400,93.0,
154500,99.4,
154600,58.8,
154700,8.5,
154800,5.9,
154900,6.6,
155000,5.3,
155100,4.8,
155200,5.7,
155400,5.2,
155500,6.3,
155600,93.8,
155700,121.6,
155800,88.8,
155900,107.8,
156000,103.5,
156100,85.4,
156200,73.4,
156400,7.3,
156500,7.9,
156600,7.5,
156700,8.6,
156800,5.2,
156900,4.6,
157000,5.6,
157100,5.9,
157200,36.7,
157300,152.7,
157400,116.0,
157500,85.6,
157600,74.0,
157700,87.2,
157800,87.3,
157900,10.3,
158000,9.0,
