Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
30301,1851.0,110.3,78.8,119.1,349.0,1817.0,14.0,
30401,1844.7,111.4,88.1,119.1,349.0,1817.0,14.0,
30501,1837.0,100.9,100.5,119.1,349.0,1817.0,14.0,
30601,1841.3,87.7,110.3,121.1,349.0,1817.0,14.0,
30801,1859.1,43.6,116.3,130.9,349.0,1817.0,14.0,
30901,1858.9,41.8,116.3,127.0,349.0,1817.0,14.0,
31001,1862.8,44.2,117.0,121.1,349.0,1817.0,14.0,
31101,1859.5,44.2,113.5,121.1,349.0,1817.0,14.0,
31201,1859.9,44.9,107.2,121.1,349.0,1817.0,14.0,
31301,1861.6,52.7,100.3,121.1,349.0,1817.0,14.0,
31401,1858.2,52.4,92.9,119.1,349.0,1817.0,14.0,
31501,1856.3,42.6,79.8,119.1,349.0,1817.0,14.0,
31601,1860.1,41.9,65.8,119.1,349.0,1817.0,14.0,
31801,1840.8,97.8,75.1,121.1,349.0,1817.0,14.0,
31901,1838.4,89.5,85.9,125.0,349.0,1817.0,14.0,
32001,1852.5,117.1,97.2,128.9,349.0,1817.0,14.0,
32101,1843.8,113.6,107.2,128.9,349.0,1817.0,14.0,
32201,1850.2,113.4,117.6,130.9,349.0,1817.0,14.0,
32301,1840.9,58.6,123.9,160.2,349.0,1817.0,14.0,
32401,1859.9,41.9,123.3,162.1,349.0,1817.0,14.0,
32501,1860.2,48.0,122.9,160.2,349.0,1817.0,14.0,
32601,1860.9,42.1,122.9,121.1,349.0,1817.0,14.0,
32801,1858.7,39.5,111.1,121.1,349.0,1817.0,14.0,
32901,1857.1,41.0,102.8,121.1,349.0,1817.0,14.0,
33001,1859.7,48.1,91.6,121.1,349.0,1817.0,14.0,
33101,1863.9,44.2,79.7,119.1,349.0,1817.0,14.0,
33201,1861.4,49.8,63.0,119.1,349.0,1817.0,14.0,
33301,1861.8,99.4,55.9,119.1,349.0,1817.0,14.0,
33401,1854.4,118.5,73.4,121.1,349.0,1817.0,14.0,
33501,1847.1,117.9,87.0,128.9,349.0,1817.0,14.0,
33601,1852.0,104.9,102.3,160.2,349.0,1817.0,14.0,
